id,sim,decision,correct,lookup_us
599,0.313025,MISS,,13596
600,0.408685,MISS,,13839
601,0.805336,MISS,,13147
602,0.420000,MISS,,14445
603,0.363907,MISS,,17932
604,0.361144,MISS,,15303
605,0.379025,MISS,,14756
606,0.397123,MISS,,17934
607,0.555658,MISS,,14885
608,0.312802,MISS,,18652
609,0.496005,MISS,,17886
610,0.496737,MISS,,24833
611,0.216543,MISS,,22732
612,0.430335,MISS,,27541
613,0.417817,MISS,,25263
614,0.378103,MISS,,21000
615,0.461595,MISS,,27987
616,0.351223,MISS,,23195
617,0.393131,MISS,,28763
618,0.383953,MISS,,29546
619,0.437119,MISS,,28346
620,0.406205,MISS,,22803
621,0.463953,MISS,,22550
622,0.286239,MISS,,18858
623,0.372536,MISS,,17746
624,0.349235,MISS,,17058
625,0.842755,MISS,,19750
626,0.396890,MISS,,15782
627,0.463864,MISS,,13980
628,0.322167,MISS,,14884
629,0.580776,MISS,,17640
630,0.480054,MISS,,17232
631,0.733190,MISS,,17043
632,0.561689,MISS,,15441
633,0.471036,MISS,,14995
634,0.409892,MISS,,15077
635,0.394360,MISS,,15606
636,0.566693,MISS,,17376
637,0.398484,MISS,,16731
638,0.427438,MISS,,15272
639,0.633843,MISS,,18063
640,0.335237,MISS,,16699
641,0.513619,MISS,,20007
642,0.542237,MISS,,17816
643,0.363752,MISS,,17743
644,0.400717,MISS,,20442
645,0.529859,MISS,,18299
646,0.572024,MISS,,24880
647,0.371463,MISS,,19062
648,0.525286,MISS,,15966
649,0.650276,MISS,,16603
650,0.617664,MISS,,14726
651,0.426062,MISS,,14691
652,0.582090,MISS,,12554
653,0.324476,MISS,,12550
654,0.566860,MISS,,22585
655,0.997923,HIT,true,31257
656,0.437851,MISS,,33067
657,0.585887,MISS,,29652
658,0.441681,MISS,,26501
659,0.454008,MISS,,32014
660,0.645688,MISS,,30454
661,0.508760,MISS,,29097
662,0.496148,MISS,,25200
663,0.347242,MISS,,34650
664,0.359834,MISS,,29269
665,0.902698,HIT,true,31551
666,0.404916,MISS,,31971
667,0.318394,MISS,,29131
668,0.466239,MISS,,35120
669,0.826123,MISS,,27876
670,0.915581,HIT,true,26941
671,0.380447,MISS,,31923
672,0.478752,MISS,,25864
673,0.347218,MISS,,28950
674,0.705166,MISS,,18048
675,0.387318,MISS,,12079
676,0.446400,MISS,,11249
677,0.553733,MISS,,12648
678,0.397106,MISS,,12510
679,0.568303,MISS,,13508
680,0.415976,MISS,,13906
681,0.581679,MISS,,12675
682,0.389051,MISS,,12766
683,0.653649,MISS,,11614
684,0.274150,MISS,,13390
685,0.435981,MISS,,13023
686,0.388903,MISS,,12742
687,0.309472,MISS,,12196
688,0.567627,MISS,,12685
689,0.386604,MISS,,12426
690,0.312844,MISS,,12939
691,0.714134,MISS,,11554
692,0.303483,MISS,,11038
693,0.415212,MISS,,13104
694,0.412736,MISS,,13187
695,0.403899,MISS,,13897
696,0.762682,MISS,,12750
697,0.319926,MISS,,20515
698,0.278163,MISS,,12935
699,0.503419,MISS,,11746
700,0.415004,MISS,,13249
701,0.392979,MISS,,11877
702,0.637225,MISS,,14269
703,0.341491,MISS,,15085
704,0.657180,MISS,,22199
705,0.344943,MISS,,17661
706,0.488297,MISS,,16317
707,0.950292,HIT,true,14795
708,0.430012,MISS,,16518
709,0.526550,MISS,,15726
710,0.303664,MISS,,14967
711,0.400770,MISS,,13641
712,0.515130,MISS,,14159
713,0.313002,MISS,,15283
714,0.504812,MISS,,12611
715,0.412131,MISS,,12189
716,0.597304,MISS,,12528
717,0.543262,MISS,,15674
718,0.463067,MISS,,14704
719,0.375686,MISS,,13137
720,0.649669,MISS,,11793
721,0.659538,MISS,,13025
722,0.685885,MISS,,12127
723,0.341512,MISS,,11435
724,0.975479,HIT,true,10876
725,0.386817,MISS,,11540
726,0.443516,MISS,,12969
727,0.405690,MISS,,12561
728,0.595193,MISS,,13431
729,0.736272,MISS,,15398
730,0.417288,MISS,,12552
731,0.455150,MISS,,11604
732,0.540462,MISS,,10956
733,0.379402,MISS,,11353
734,0.763449,MISS,,12975
735,0.583031,MISS,,11017
736,0.532781,MISS,,14440
737,0.491784,MISS,,14005
738,0.371012,MISS,,15283
739,0.526867,MISS,,13339
740,0.354797,MISS,,12130
741,0.667409,MISS,,14122
742,0.541391,MISS,,15014
743,0.565601,MISS,,13848
744,0.314510,MISS,,13804
745,0.954672,HIT,true,14991
746,0.649052,MISS,,15739
747,0.428117,MISS,,11212
748,0.418050,MISS,,12440
749,0.347056,MISS,,17704
750,0.420350,MISS,,12077
751,0.438925,MISS,,11367
752,0.376891,MISS,,12895
753,0.414223,MISS,,12339
754,0.534016,MISS,,11837
755,0.407533,MISS,,11072
756,0.518279,MISS,,11867
757,0.698614,MISS,,12046
758,0.332348,MISS,,10948
759,0.387589,MISS,,13808
760,0.604005,MISS,,12095
761,0.334661,MISS,,12258
762,0.427209,MISS,,11158
763,0.830732,MISS,,11675
764,0.399919,MISS,,11806
765,0.357846,MISS,,10998
766,0.626762,MISS,,14721
767,0.396511,MISS,,12896
768,0.558783,MISS,,11750
769,0.491211,MISS,,11244
770,0.396070,MISS,,13707
771,0.480883,MISS,,11325
772,0.322875,MISS,,11267
773,0.392738,MISS,,14051
774,0.467608,MISS,,13553
775,0.283040,MISS,,11771
776,0.399843,MISS,,11331
777,0.387110,MISS,,12310
778,0.695186,MISS,,11478
779,0.330817,MISS,,12762
780,0.493144,MISS,,11683
781,0.572318,MISS,,12872
782,0.464211,MISS,,11549
783,0.737735,MISS,,11098
784,0.475560,MISS,,11933
785,0.419029,MISS,,11260
786,0.378344,MISS,,12542
787,0.460820,MISS,,12221
788,0.288359,MISS,,12002
789,0.360036,MISS,,11007
790,0.910076,HIT,true,11420
791,0.313715,MISS,,26945
792,0.614170,MISS,,12847
793,0.486205,MISS,,11248
794,0.837482,MISS,,11108
795,0.329699,MISS,,12883
796,0.415951,MISS,,13735
797,0.279131,MISS,,10979
798,0.472271,MISS,,11649
799,0.199888,MISS,,13223
800,0.400159,MISS,,10856
801,0.353878,MISS,,13177
802,0.427772,MISS,,11554
803,0.948267,HIT,true,12884
804,0.397595,MISS,,11338
805,0.405290,MISS,,11505
806,0.388747,MISS,,11564
807,0.439914,MISS,,11187
