query_index,class_id,best_same,best_cross,nn_sim,nn_same_class
15550,11267,0.858956,0.795298,0.858956,true
15560,25110,0.944716,0.609652,0.944716,true
15570,4730,0.895098,0.654938,0.895098,true
15580,4867,0.601205,0.601991,0.601991,false
15590,13643,0.919000,0.860605,0.919000,true
15600,57355,0.891108,0.513715,0.891108,true
15610,30615,0.827946,0.646759,0.827946,true
15620,32107,0.978032,0.647898,0.978032,true
15630,42427,0.841512,0.568571,0.841512,true
15640,7356,0.907387,0.592622,0.907387,true
15650,3748,0.917924,0.790028,0.917924,true
15660,20496,0.945796,0.635470,0.945796,true
15670,2308,0.959450,0.539293,0.959450,true
15680,53413,0.918985,0.855159,0.918985,true
15690,33746,0.878400,0.870527,0.878400,true
15700,13734,0.664497,0.523960,0.664497,true
15710,18979,0.789832,0.776494,0.789832,true
15720,20204,0.904281,0.598958,0.904281,true
15730,12520,0.866055,0.685760,0.866055,true
15740,44373,0.869413,0.392568,0.869413,true
15750,12015,0.899557,0.812616,0.899557,true
15760,35250,0.943191,0.767643,0.943191,true
15770,17718,0.878063,0.896284,0.896284,false
15780,17985,0.854546,0.744233,0.854546,true
15790,4232,0.943709,0.555729,0.943709,true
15800,8925,0.951224,0.395929,0.951224,true
15810,49720,0.843037,0.492377,0.843037,true
15820,44781,0.952584,0.790624,0.952584,true
15830,47788,0.985033,0.838833,0.985033,true
15840,49567,0.994224,0.490262,0.994224,true
15850,51716,0.914726,0.664905,0.914726,true
15860,51824,0.969594,0.658418,0.969594,true
15870,46706,0.900833,0.507173,0.900833,true
15880,22874,0.900441,0.697504,0.900441,true
15890,9650,0.962430,0.804099,0.962430,true
15900,21915,0.994177,0.788178,0.994177,true
15910,12150,0.914115,0.885338,0.914115,true
15920,1019,0.905084,0.700191,0.905084,true
15930,1791,0.922749,0.735852,0.922749,true
15940,25265,0.903601,0.501522,0.903601,true
15950,41585,0.985393,0.906273,0.985393,true
15960,27462,0.888945,0.558408,0.888945,true
15970,36230,0.868424,0.625013,0.868424,true
15980,59349,0.861013,0.619237,0.861013,true
15990,28489,0.949158,0.673657,0.949158,true
16000,37658,0.953048,0.649921,0.953048,true
16010,14214,0.925241,0.658308,0.925241,true
16020,37146,0.952989,0.630452,0.952989,true
16030,384,0.946793,0.832359,0.946793,true
16040,31830,0.982898,0.648782,0.982898,true
16050,45017,0.917900,0.403103,0.917900,true
16060,24888,0.736314,0.747189,0.747189,false
16070,49179,0.904598,0.716711,0.904598,true
16080,14479,0.866051,0.546057,0.866051,true
16090,27689,0.922460,0.549561,0.922460,true
16100,17755,0.990684,0.577287,0.990684,true
16110,46147,0.888391,0.716002,0.888391,true
16120,9873,0.918540,0.751272,0.918540,true
16130,22116,0.777698,0.523907,0.777698,true
16140,57718,0.969702,0.854997,0.969702,true
16150,9359,0.993527,0.758741,0.993527,true
16160,7703,0.978102,0.863440,0.978102,true
16170,17442,0.759403,0.595243,0.759403,true
16180,9133,0.842100,0.770482,0.842100,true
16190,44920,0.986573,0.433830,0.986573,true
16200,22825,0.998739,0.568329,0.998739,true
16210,1526,0.959417,0.575662,0.959417,true
16220,14051,0.933526,0.897907,0.933526,true
16230,52131,0.927959,0.823181,0.927959,true
16240,8596,0.839845,0.956542,0.956542,false
16250,31838,0.925273,0.722002,0.925273,true
16260,25376,0.852609,0.534046,0.852609,true
16270,7974,0.745552,0.389163,0.745552,true
16280,26498,0.998071,0.570476,0.998071,true
16290,15510,0.715753,0.522948,0.715753,true
16300,18311,0.930994,0.804368,0.930994,true
16310,47631,0.917137,0.683962,0.917137,true
16320,20474,0.981094,0.543309,0.981094,true
16330,7830,0.904969,0.861615,0.904969,true
16340,36411,0.966227,0.810287,0.966227,true
16350,51964,0.801991,0.580910,0.801991,true
16360,53870,0.766850,0.563812,0.766850,true
16370,56734,0.933919,0.469048,0.933919,true
16380,28879,0.976572,0.503027,0.976572,true
16390,23832,0.951963,0.835386,0.951963,true
16400,4305,0.886286,0.566942,0.886286,true
16410,2067,0.972188,0.822121,0.972188,true
16420,21769,0.967474,0.677480,0.967474,true
16430,34145,0.939393,0.546837,0.939393,true
16440,12512,0.920688,0.689597,0.920688,true
16450,42153,0.949686,0.777582,0.949686,true
16460,44153,0.838334,0.567954,0.838334,true
16470,37834,0.949720,0.862235,0.949720,true
16480,25130,0.909318,0.529975,0.909318,true
16490,33111,0.995714,0.497225,0.995714,true
16500,29956,0.854798,0.638055,0.854798,true
16510,32512,0.971070,0.852246,0.971070,true
16520,58900,0.979330,0.874148,0.979330,true
16530,48566,0.976550,0.624031,0.976550,true
16540,47327,0.952457,0.767089,0.952457,true
16550,47915,0.687625,0.746067,0.746067,false
16560,23832,0.937459,0.829599,0.937459,true
16570,12840,0.915777,0.806079,0.915777,true
16580,55959,0.852831,0.584341,0.852831,true
16590,1147,0.867331,0.823174,0.867331,true
16600,47959,0.954879,0.856072,0.954879,true
16610,56283,0.937185,0.507951,0.937185,true
16620,47214,0.995257,0.665021,0.995257,true
16630,8182,0.868527,0.467545,0.868527,true
16640,43194,0.952049,0.507614,0.952049,true
16650,48135,0.979304,0.583957,0.979304,true
16660,33202,0.856119,0.497463,0.856119,true
16670,12094,0.920547,0.766115,0.920547,true
16680,2592,0.825890,0.485307,0.825890,true
16690,4541,0.824125,0.679492,0.824125,true
16700,21656,0.894508,0.734619,0.894508,true
16710,5943,0.757573,0.722689,0.757573,true
16720,53598,0.960888,0.833722,0.960888,true
16730,32499,0.911640,0.773010,0.911640,true
16740,47904,0.944906,0.666363,0.944906,true
16750,36197,0.963811,0.800385,0.963811,true
16760,32743,0.887180,0.706849,0.887180,true
16770,25715,0.789155,0.602413,0.789155,true
16780,57362,0.936590,0.685735,0.936590,true
16790,33313,0.963117,0.580715,0.963117,true
16800,57755,0.919450,0.445002,0.919450,true
16810,55935,0.819338,0.661000,0.819338,true
16820,60096,0.975862,0.494169,0.975862,true
16830,39468,0.859927,0.755422,0.859927,true
16840,44627,0.922619,0.766347,0.922619,true
16850,40711,0.958370,0.692926,0.958370,true
16860,10064,0.865120,0.599235,0.865120,true
16870,32999,0.989385,0.500747,0.989385,true
16880,45927,0.933353,0.777613,0.933353,true
16890,34644,0.902517,0.622959,0.902517,true
16900,21342,0.962135,0.598073,0.962135,true
16910,48917,0.928809,0.404562,0.928809,true
16920,6205,0.932325,0.384261,0.932325,true
16930,57434,0.691057,0.739116,0.739116,false
16940,56642,0.776013,0.696009,0.776013,true
16950,57940,0.964218,0.637100,0.964218,true
16960,17495,0.982160,0.671162,0.982160,true
16970,54866,0.936659,0.814933,0.936659,true
16980,44298,0.943704,0.541429,0.943704,true
16990,1699,0.928693,0.862743,0.928693,true
17000,45798,0.977836,0.822122,0.977836,true
17010,30587,0.821027,0.564243,0.821027,true
17020,10050,0.943897,0.530007,0.943897,true
17030,11189,0.966946,0.770923,0.966946,true
17040,55247,0.825713,0.687327,0.825713,true
17050,12802,0.886587,0.623592,0.886587,true
17060,21912,0.782854,0.679382,0.782854,true
17070,12808,0.807980,0.708480,0.807980,true
17080,33823,0.880359,0.689251,0.880359,true
17090,49847,0.967928,0.542802,0.967928,true
17100,10242,0.860326,0.517923,0.860326,true
17110,27291,0.970243,0.512652,0.970243,true
17120,10815,0.951883,0.942872,0.951883,true
